#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Owenweeksia hongkongensis	CIP 108786, DSM 17368, JCM 12287, NRRL B-23963, UST20020801	yes	yes
Oxalicibacterium faecigallinarum	CCM 2767, DSM 21641, YOx	yes	no
Oxalicibacterium flavum	CCM 7086, CCUG 48438, CIP 107889, DSM 15506, KUEN 1580, LMG 21571, NEU 98, TA17	yes	no
Oxalicibacterium horti	DSM 21640, NBRC 13594, OD1	yes	no
Oxalicibacterium solurbis	CCM 7664, MY14, NBRC 102665	yes	no
Oxalobacter formigenes	ATCC 35274, CIP 106513, OxB	yes	no
Oxalobacter vibrioformis	DSM 5502, WoOx3	yes	no
Oxalophagus oxalicus	ATCC 49686, Alt Ox1, DSM 5503	yes	no
Oxobacter pfennigii	ATCC 43583, DSM 3222, V5-2	yes	yes
Oxynema thaianum	CCALA 960	yes	no
Pacaella massiliensis	CSUR P2670, Marseille-P2670	yes	no
Pacificibacter aestuarii	JCM 31805, KACC 19098, KJ21	yes	no
Pacificibacter marinus	CCUG 58403, DSM 25228, HDW-9, KCTC 22805	yes	yes
Pacificibacter maritimus	JCM 17096, KMM 9031, NRIC 0785	yes	no
Pacificimonas aurantium	CGMCC 1.12399, JLT2012, LMG 27361	yes	no
Pacificimonas flava	CGMCC 1.12401, JLT2015, LMG 27364	yes	yes
Paenalcaligenes hermetiae	JCM 18423, KACC 16840, KBL009	yes	no
Paenalcaligenes hominis	CCM 7698, CCUG 53761, CCUG 53761A	yes	no
Paenalcaligenes suwonensis	ABC02-12, KACC 16537, NBRC 108927	yes	no
Paenarthrobacter aurescens	ATCC 13344, CCM 1649, CIP 102364, DSM 20116, HAMBI 1850, IFO 12136, IMET 11247, JCM 1330, LMG 3815, NBRC 12136, NCIB 8912, NRRL B-2879, VKM Ac-1105	yes	no
Paenarthrobacter histidinolovorans	ATCC 11442, CCUG 23888, CIP 106988, DSM 20115, IFO 15510, IMET 10373, JCM 2520, LMG 3822, NBRC 15510, NCIB 9541, VKM Ac-1978	yes	no
Paenarthrobacter ilicis	ATCC 14264, DSM 20138, NCPPB 1228	yes	no
Paenarthrobacter nicotinovorans	ATCC 49919, CIP 106990, DSM 420, IFO 15511, JCM 3874, LMG 16253, NBRC 15511, SAM 1563, VKM Ac-1988	yes	no
Paenarthrobacter nitroguajacolicus	CCM 4924, DSM 15232, G2-1, JCM 14115	no	yes
Paenarthrobacter ureafaciens	ATCC 7562, CCM 1644, CIP 67.3, DSM 20126, IFO 12140, IMET 11370, JCM 1337, LMG 3812, NBRC 12140, NCIB 7811, VKM Ac-1121	yes	no
Paenibacillus abyssi	CGMCC 1.12987, DSM 26238, SCSIO N0306	yes	no
Paenibacillus aceris	DSM 24950, KCTC 13870, KUDC4121	yes	no
Paenibacillus aceti	CGMCC 1.15420, JCM 31170, L14	yes	no
Paenibacillus aestuarii	CJ25, JCM 15521, KACC 13125	yes	no
Paenibacillus agarexedens	10, CIP 107437, DSM 1327	yes	no
Paenibacillus agaridevorans	65, CIP 107436, DSM 1355	yes	no
Paenibacillus alba	J20-6, JCM 18165, KEMC 7302-005	yes	no
Paenibacillus albidus	CGMCC 1.16134, KCTC 33911, Q4-3	yes	no
Paenibacillus alginolyticus	ATCC 51185, CFBP 4264, CIP 103122, DSM 5050, HSCC 175, IFO 15375, JCM 9068, LMG 18039, NBRC 15375, NCIMB 12517, NRRL NRS-1347	yes	yes
Paenibacillus algorifonticola	CGMCC 1.10223, JCM 16598, XJ259	yes	yes
Paenibacillus alkaliterrae	DSM 17040, KCTC 3956, KSL-134	yes	no
Paenibacillus alvei	ATCC 6344, CCM 2051, CCUG 1815, CIP 66.18, DSM 29, IFO 3343, JCM 20131, LMG 13253, NBRC 3343, NCCB 48008, NCIB 9371, NCTC 6352, NRRL B-383, VKM B-502	yes	yes
Paenibacillus amylolyticus	ATCC 9995, CCUG 28514, CFBP 4261, CIP 103117, DSM 11730, DSM 11747, DSM 15211, DSM 3034, HSCC 434, IFO 13625, IFO 15957, JCM 9906, LMG 11153, NBRC 13625, NBRC 15957, NRRL B-14940, NRRL B-377, NRRL NRS-290	yes	no
Paenibacillus anaericanus	ATCC BAA-844, DSM 15890, Gsoil 1638 [[Paenibacillus ginsengisoli]], KCTC 13931 [[Paenibacillus ginsengisoli]], LMG 23406 [[Paenibacillus ginsengisoli]], MH21	yes	no
Paenibacillus antarcticus	20CM, CECT 5836, LMG 22078	yes	yes
Paenibacillus antibioticophila	CSUR P1358, DSM 28228, GD11	yes	yes
Paenibacillus apiarius	ATCC 29575, BX3, CIP 104902, DSM 5581, LMG 17433, NRRL NRS-1438	yes	no
Paenibacillus apis	CBM1, JCM 31620, KCTC 33844	yes	no
Paenibacillus aquistagni	11, CCM 8679, LMG 29561, ZIM B1027	yes	yes
Paenibacillus arachidis	E3, KCTC 33574, LMG 28417	yes	no
Paenibacillus arcticus	JCM 30981, MME2_R6, PAMC 28731	yes	no
Paenibacillus assamensis	DSM 18201, GPTSA 11, JCM 13186, MTCC 6934	yes	yes
Paenibacillus aurantiacus	KCTC 33816, LMG 29659, RC11, TISTR 2452	yes	no
Paenibacillus azoreducens	CIP 107224, CM1, DSM 13822, NCIMB 13761	yes	no
Paenibacillus azotifigens	KACC 18967, LMG 29963, NF2-4-5	yes	no
Paenibacillus baekrokdamisoli	Back-11, CECT 8890, KCTC 33723	yes	no
Paenibacillus barcinonensis	BP-23, CECT 7022, DSM 15478	yes	no
Paenibacillus barengoltzii	ATCC BAA-1209, NBRC 101215, SAFN-016	yes	no
Paenibacillus beijingensis	7188, ACCC 03082, DSM 24997	yes	yes
Paenibacillus borealis	CCUG 43137, CIP 107056, DSM 13188, KK19	yes	yes
Paenibacillus bouchesdurhonensis	CSUR P3071, DSM 103972, Marseille-P3071	yes	yes
Paenibacillus bovis	BD3526, CGMCC 8333, DSM 28815	yes	yes
Paenibacillus brasilensis	ATCC BAA-413, DSM 14914, PB172	yes	no
Paenibacillus brassicae	112, ACCC 01125, DSM 24983	yes	no
Paenibacillus camelliae	CECT 7361, KCTC 13220, b11s-2	yes	no
Paenibacillus campinasensis	324, JCM 11200, KCTC 0364BP	yes	no
Paenibacillus castaneae	CECT 7279, Ch-32, DSM 19417	yes	yes
Paenibacillus catalpae	CGMCC 1.10784, D75, DSM 24714	yes	yes
Paenibacillus cathormii	BK114-2, KCTC 33251, TISTR 2282	no	no
Paenibacillus cavernae	C4-5, DSM 100100, KCTC 33652	yes	no
Paenibacillus cellulosilyticus	CECT 5696, LMG 22232, PALXIL 08, PALXIL08	yes	no
Paenibacillus cellulositrophicus	KCTC 13135, P2-1, PCU 305, TISTR 1888	yes	no
Paenibacillus chartarius	CCM 7759, CCUG 55240	yes	no
Paenibacillus chibensis	CIP 105254, DSM 11731, HSCC 442, IFO 15958, JCM 9905, LMG 14457, NBRC 15958, NRRL B-142	yes	no
Paenibacillus chinensis	4R1, CICC 23864, KCTC 33672	yes	no
Paenibacillus chinjuensis	DSM 15045, JCM 10939, KCTC 8951, KCTC 8951P, WN9	yes	no
Paenibacillus chitinolyticus	CIP 104914, DSM 11030, EAG-3, IFO 15660, JCM 12162, KCTC 3791, LMG 18047, NBRC 15660, NRRL B-23119	yes	yes
Paenibacillus chondroitinus	ATCC 51184, CCUG 28527, CFBP 4265, CIP 103123, DSM 5051, HSCC 176, IFO 15376, JCM 9072, LMG 18040, NBRC 15376, NRRL NRS-1351	yes	no
Paenibacillus chungangensis	CAU 9038, CCUG 59129, KCTC 13717	yes	no
Paenibacillus cineris	CIP 108109, LMG 18439, Logan B1768, Logan collection no. B1768, SSI068, isolate SSI068	yes	no
Paenibacillus cisolokensis	DSM 101873, LC2-13A, NRRL B-65368, UICC B-42	yes	no
Paenibacillus contaminans	BCRC 17728, CKOBP-6, LMG 24216	yes	no
Paenibacillus cookii	CIP 108110, LMG 18419, Logan B1718, Logan collection no. B1718, SSI018, isolate SSI018	yes	no
Paenibacillus crassostreae	JCM 31183, KACC 18694, LPB0068	yes	yes
Paenibacillus cucumis	AP-115, CCM 8653, LMG 29222	yes	no
Paenibacillus cucumis Kampfer et al. 2016	AP-115, CCM 8655, LMG 29222	yes	no
Paenibacillus curdlanolyticus	ATCC 51898, CIP 104575, DSM 10247, HSCC 491, IFO 15724, JCM 12163, LMG 18050, NBRC 15724, NRRL B-23243, YK9	yes	yes
Paenibacillus daejeonensis	AP-20, DSM 15491, JCM 11236, KCTC 3745, KCTC 3750	yes	yes
Paenibacillus darwinianus	Br, DSM 27245, ICMP 19883, ICMP 19912	yes	yes
Paenibacillus dauci	CPCC 100608, H9, JCM 30283	yes	yes
Paenibacillus dendritiformis	BGSC 30A1, CIP 105967, T168	yes	no
Paenibacillus dongdonensis	DSM 27607, KCTC 33221, KUDC0114	yes	no
Paenibacillus donghaensis	JH8, KCTC 13049, LMG 23780	yes	yes
Paenibacillus doosanensis	CAU 1055, CCUG 63270, KCTC 33036	yes	no
Paenibacillus durus	ATCC 27763, ATCC 35681 [[Bacillus azotofixans]], ATCC 35681 [[Paenibacillus azotofixans]], CIP 104586 [[Paenibacillus azotofixans]], DSM 1735, DSM 5976 [[Bacillus azotofixans]], DSM 5976 [[Paenibacillus azotofixans]], LMG 14658 [[Paenibacillus azotofixans]], P3L-5 [[Bacillus azotofixans]], P3L-5 [[Paenibacillus azotofixans]], VPI 6563	yes	yes
Paenibacillus edaphicus	CIP 105814, DSM 12974, T7, VKPM B-7517	yes	no
Paenibacillus ehimensis	CIP 104913, DSM 11029, EAG-5, IFO 15659, JCM 12161, KCTC 3748, LMG 18048, NBRC 15659, NRRL B-23118	yes	no
Paenibacillus elgii	KCTC 10016BP, NBRC 100335, SD17	yes	no
Paenibacillus endophyticus	CECT 8234, LMG 27297, PECAE04	yes	no
Paenibacillus enshidis	CCTCC AB 2013275, KCTC 33519, RP-207	yes	no
Paenibacillus etheri	CECT 8558, DSM 29760, SH7	yes	yes
Paenibacillus eucommiae	CPCC 100226, DSM 26048, KCTC 33054	no	no
Paenibacillus faecis	656.84, CIP 101062, DSM 23593	yes	no
Paenibacillus favisporus	CECT 5760, GMP01, LMG 20987	yes	no
Paenibacillus ferrarius	CCTCC AB 2013369, CY1, KCTC 33419	yes	yes
Paenibacillus filicis	JCM 16417, KACC 14197, KCTC 13693, S4	yes	no
Paenibacillus fonticola	BCRC 17579, DSM 21315, LMG 23577, ZL	yes	yes
Paenibacillus forsythiae	CCBAU 10203, DSM 17842, T98	yes	yes
Paenibacillus frigoriresistens	CCTCC AB 2011150, JCM 18141, YIM 016	yes	no
Paenibacillus gansuensis	B518, DSM 16968, KCTC 3950	yes	no
Paenibacillus gelatinilyticus	JCM 30624, KCTC 33642, PG1	yes	no
Paenibacillus ginsengarvi	DSM 18677, Gsoil 139, KCTC 13059	yes	no
Paenibacillus ginsengihumi	DCY16, DSM 21568, JCM 14928, KCTC 13141	yes	yes
Paenibacillus ginsengiterrae	DCY89, JCM 19887, KCTC 33430	yes	no
Paenibacillus glacialis	DSM 22343, KFC91, NCCB 100252	yes	yes
Paenibacillus glucanolyticus	ATCC 49278, CCUG 28523, CIP 106935, DSM 5162, HSCC 171, IFO 15330, LMG 12239, NBRC 15330, NCIMB 12809, NRRL B-14679, S93	yes	yes
Paenibacillus glycanilyticus	DS-1, IFO 16618, JCM 11221, NBRC 16618, NRRL B-23455	yes	no
Paenibacillus gorillae	CSUR P205, DSM 26181, G1	yes	yes
Paenibacillus graminis	ATCC BAA-95, DSM 15220, LMG 19080, RSA19	yes	yes
Paenibacillus granivorans	A30, CBS 229.89	no	no
Paenibacillus guangzhouensis	CCTCC AB 2013236, GSS02, KCTC 33171	yes	no
Paenibacillus harenae	B519, DSM 16969, KCTC 3951	yes	yes
Paenibacillus hemerocallicola	DLE-12, JCM 19572, KCTC 33185	yes	no
Paenibacillus herberti	CGMCC 1.15042, DSM 29849, R33	yes	yes
Paenibacillus hispanicus	AMTAE16, CECT 9124, LMG 29501	yes	no
Paenibacillus hodogayensis	JCM 12520, KCTC 3919, SG	yes	no
Paenibacillus hordei	JCM 17570, KACC 15511, RH-N24	yes	no
Paenibacillus humicus	DSM 18784, LMG 23886, NBRC 102415, PC-147	yes	no
Paenibacillus hunanensis	ACCC 10718, CGMCC 1.8907, DSM 22170, FeL05	yes	no
Paenibacillus ihbetae	IHBB 9852, JCM 31131, KACC 19072, MCC 2795, MTCC 12459	no	yes
Paenibacillus ihumii	AT5, CSUR 1981, CSUR P1981, DSM 100664	yes	yes
Paenibacillus illinoisensis	CIP 105253, DSM 11733, HSCC 309, IFO 15959, JCM 9907, LMG 18051, NBRC 15959, NRRL NRS-1356	yes	no
Paenibacillus intestini	JCM 31621, KCTC 33832, LAH16	yes	no
Paenibacillus jamilae	B.3, CECT 13815, CECT 5266, DSM 13815	yes	no
Paenibacillus jilunlii	Be17, CGMCC 1.10239, DSM 23019	yes	yes
Paenibacillus kobensis	ATCC 51900, CIP 104576, DSM 10249, HSCC 488, IFO 15729, JCM 12164, LMG 18049, NBRC 15729, NRRL B-23246, YK205	yes	no
Paenibacillus koleovorans	IAM 14926, JCM 11186, KCTC 13912, NBRC 103111, TB	yes	no
Paenibacillus konkukensis	KACC 18876, LMG 29568, SK-3146	yes	no
Paenibacillus konsidensis	ABB ID-KSY9, ABB-ID-KSY9, DSM 21992, JCM 14798, KCTC 13165, LBY	yes	no
Paenibacillus koreensis	KCCM 40903, KCTC 2393, YC300	yes	no
Paenibacillus kribbensis	AM49, JCM 11465, KCTC 0766BP	yes	yes
Paenibacillus kyungheensis	DCY88, JCM 19886, KCTC 33429	yes	no
Paenibacillus lactis	CIP 108827, DSM 15596, LMG 21940, MB 1871	yes	no
Paenibacillus lacus	Agd-32, BCRC 80902, KCTC 33691, LMG 28836	yes	no
Paenibacillus larvae	ATCC 9545, ATCC 9545 [[Bacillus pulvifaciens]], ATCC 9545 [[Paenibacillus larvae subsp. pulvifaciens]], ATCC 9545 [[Paenibacillus pulvifaciens]], CCUG 28515, CIP 104618, DSM 3615, DSM 3615 [[Bacillus pulvifaciens]], DSM 3615 [[Paenibacillus larvae subsp. pulvifaciens]], DSM 3615 [[Paenibacillus pulvifaciens]], DSM 7030, DSM 7030 [[Bacillus pulvifaciens]], DSM 7030 [[Paenibacillus larvae subsp. pulvifaciens]], DSM 7030 [[Paenibacillus pulvifaciens]], LMG 15969, LMG 9820, NRRL B-2605, NRRL B-3685, NRRL B-3685 [[Bacillus pulvifaciens]], NRRL B-3685 [[Paenibacillus larvae subsp. pulvifaciens]], NRRL B-3685 [[Paenibacillus pulvifaciens]]	yes	yes
Paenibacillus larvae subsp. pulvifaciens	ATCC 49843, CIP 104990, DSM 3615, IFO 15408, LMG 15974, LMG 6911, NBRC 15408, NCIMB 11201, NRRL B-3685	yes	no
Paenibacillus lautus	ATCC 43898, CIP 103118, DSM 3035, IFO 15380, JCM 9073, LMG 11157, NBRC 15380, NRRL NRS 666, NRRL NRS-666	yes	no
Paenibacillus lemnae	BCC 67838, L7-75, NBRC 109972	yes	no
Paenibacillus lentimorbus	ATCC 14707, CCUG 28883, CIP 106068, LMG 20224, NCCB 75014, NRRL B-2522	yes	no
Paenibacillus lentus	ATCC BAA-2594, CMG1240, DSM 25539	yes	no
Paenibacillus liaoningensis	CGMCC 1.15101, JCM 30712, LNUB461	yes	no
Paenibacillus limicola	CJ6, JCM 32079, KACC 19303	yes	no
Paenibacillus lupini	CECT 8235, LMG 27296, RLAHU15	yes	no
Paenibacillus macerans	ATCC 8244, BCRC 14680, CCM 2012, CCRC 14680, CCUG 7423, CFBP 4253, CIP 66.19, DSM 24, HAMBI 1958, HAMBI 636, IAM 1227, IAM 12467, IFO 15307, JCM 2500, KCTC 1822, LMG 13281, LMG 6324, NBRC 15307, NCCB 48019, NCDO 1764, NCIB 9368, NCIMB 9368, NCTC 6355, NRRL B-172, NRRL B-394, NRRL B-4267, VKM B-506	yes	no
Paenibacillus macquariensis	ATCC 23464, CCUG 37394, CIP 103269, DSM 2, LMG 6935, NCTC 10419, NRRL B-14306	yes	yes
Paenibacillus macquariensis subsp. defensor	JCM 14954, M4-2, NCIMB 14397	no	yes
Paenibacillus macquariensis subsp. macquariensis	ATCC 23464, DSM 2, LMG 6935, NCIB 9934, NCTC 10419	no	no
Paenibacillus marchantiophytorum	CGMCC 1.15043, DSM 29850, R55	yes	no
Paenibacillus marinisediminis	JCM 17886, KACC 16317, LHW35	yes	no
Paenibacillus marinum	DSM 18499, LMG 23758, THE22	yes	no
Paenibacillus massiliensis	2301065, CCUG 48215, CIP 107939, DSM 16942	yes	yes
Paenibacillus medicaginis	BCRC 80441, CC-Alfalfa-19, JCM 18446	yes	no
Paenibacillus mendelii	C/2, CCM 4839, LMG 23002	yes	no
Paenibacillus methanolicus	BL24, CCM 7577, NRRL B-51698	yes	no
Paenibacillus mobilis	JCM 31672, KCTC 33848, S8	yes	no
Paenibacillus montaniterrae	KCTC 13036, MXC2-2, PCU 281, TISTR 1836	yes	no
Paenibacillus motobuensis	CCUG 50090, GTC 1835, JCM 12774, MC10	yes	no
Paenibacillus mucilaginosus	1480D, CIP 105815, HSCC 1605, KCTC 3870, VKM B-1480D, VKPM B-7519	yes	no
Paenibacillus nanensis	KCTC 13044, MX2-3, PCU 276, TISTR 1828	yes	no
Paenibacillus naphthalenovorans	ATCC BAA-206, DSM 14203, PR-N1	yes	yes
Paenibacillus nasutitermitis	CGMCC 1.15178, NBRC 111536, P5-1	yes	no
Paenibacillus nebraskensis	CIP 111179, DSM 103623, JJ-59, LMG 29764	yes	no
Paenibacillus nematophilus	DSM 13559, NCIMB 13845, NEM1a	yes	no
Paenibacillus nicotianae	CGMCC 1.12819, NRRL B-59112, YIM h-19	yes	no
Paenibacillus oceanisediminis	JCM 17814, KACC 16203, L10	yes	no
Paenibacillus odorifer	ATCC BAA-93, DSM 15391, JCM 21743, LMG 19079, TOD45	yes	yes
Paenibacillus oenotherae	DT7-4, JCM 19573, KCTC 33186	yes	no
Paenibacillus oryzae	1DrF-4, ACCC 19927, JCM 30486	yes	yes
Paenibacillus pabuli	ATCC 43899, CCUG 27415, CFBP 4262, CIP 103119, DSM 3036, HAMBI 1825, IFO 13638, JCM 9074, LMG 15970, NBRC 13638, NRRL NRS 924, NRRL NRS-924	yes	yes
Paenibacillus panacisoli	DSM 21345, Gsoil 1411, KCTC 13020, LMG 23405	yes	yes
Paenibacillus panaciterrae	DCY95, DSM 29477, KCTC 33581	yes	no
Paenibacillus pasadenensis	ATCC BAA-1211, DSM 19293, NBRC 101214, SAFN-007	yes	yes
Paenibacillus pectinilyticus	CECT 7358, KCTC 13222, RCB-08	yes	yes
Paenibacillus peoriae	ATCC 51925, BD-57, CIP 103812, DSM 8320, IFO 15541, KCTC 3763, LMG 14832, NBRC 15541, NRRL B-14750	yes	yes
Paenibacillus periandrae	CECT 8827, LMG 28691, PM10	yes	no
Paenibacillus phocaensis	CSUR P2238, DSM 101777, mt24	yes	yes
Paenibacillus phoenicis	3PO2SA, NBRC 106274, NRRL B-59348	yes	no
Paenibacillus phyllosphaerae	CECT 5862, LMG 22192, PALXIL04	yes	no
Paenibacillus physcomitrellae	CGMCC 1.15044, DSM 29851, XB	yes	yes
Paenibacillus pini	JCM 16418, KACC 14198, KCTC 13694, S22	yes	yes
Paenibacillus pinihumi	DSM 23905, JCM 16419, KACC 14199, KCTC 13695, S23	yes	yes
Paenibacillus pinisoli	JCM 19203, KACC 17472, KEMB 9005-025, NB5	yes	no
Paenibacillus pocheonensis	Gsoil 1138, KCTC 13941, LMG 23404	yes	no
Paenibacillus polymyxa	ATCC 842, CCM 1459, CCUG 7426, CFBP 4258, CIP 66.22, DSM 36, HAMBI 1897, HAMBI 635, IAM 13419, IFO 15309, JCM 2507, LMG 13294, NBRC 15309, NCCB 24016, NCIB 8158, NCTC 10343, NRRL B-4317, VKM B-514	yes	yes
Paenibacillus polysaccharolyticus	BL9, ICMP 17623, NBRC 105191	yes	yes
Paenibacillus popilliae	ATCC 14706, CCUG 28881, CIP 106066, NCCB 75017, NRRL B-2309	yes	yes
Paenibacillus populi	ACCC 06427, JCM 19843, LAM0705	yes	no
Paenibacillus profundus	KMM 9420, NRIC 0885, Sl 79, Sl 79w	yes	no
Paenibacillus prosopidis	CECT 7506, DSM 22405, LMG 25259, PW21	yes	no
Paenibacillus provencensis	4401170, CCUG 53519, CIP 109358	yes	no
Paenibacillus pueri	CECT 7360, KCTC 13223, b09i-3	yes	no
Paenibacillus puernese	DCY97, JCM 140369, KCTC 33596	yes	no
Paenibacillus puldeungensis	CAU 9324, CCUG 59189, KCTC 13718	yes	no
Paenibacillus purispatii	CIP 110057, DSM 22991, ES_MS17	yes	no
Paenibacillus qingshengii	CCTCC AB 2014290, JCM 30613, S1-9	yes	no
Paenibacillus qinlingensis	CCTCC AB 2015258, KCTC 33806, TEGT-2	yes	no
Paenibacillus quercus	1-25, CCTCC AB 2013265, CCTCC AB2013265, KCTC 33194	yes	no
Paenibacillus radicis	694, CGMCC 1.15286, DSM 100762	yes	no
Paenibacillus relictisesami	DSM 25385, JCM 18068, KB0549	yes	no
Paenibacillus residui	CCUG 57263, DSM 22072, MC-246	yes	no
Paenibacillus rhizoplanae	CCM 8725, JJ-64, LMG 29875	yes	no
Paenibacillus rhizoryzae	1ZS3-5, ACCC 19782, DSM 29322	yes	no
Paenibacillus rhizosphaerae	CECAP06, CECT 5831, LMG 21955	yes	no
Paenibacillus rigui	JCM 16352, KCTC 13282, WPCB173	yes	yes
Paenibacillus riograndensis	CCGB 1313, CECT 7330, SBR5	yes	yes
Paenibacillus ripae	CCTCC AB 2014276, HZ1, LMG 28639, LMG 29834	yes	no
Paenibacillus rubinfantis	CSUR P2076, DSM 101191, MT18	yes	yes
Paenibacillus sabinae	CCBAU 10202, DSM 17841, T27	yes	yes
Paenibacillus sacheonensis	DSM 23054, KACC 14895, SY01	yes	no
Paenibacillus salinicaeni	ACCC 00741, JCM 30850, LAM0A28	yes	no
Paenibacillus sanguinis	2301083, CCUG 48214, CIP 107938, DSM 16941	yes	yes
Paenibacillus sediminis	DSM 23491, GTH-3, LMG 25635	yes	no
Paenibacillus segetis	CGMCC 1.12769, DB13260, DSM 28014	yes	no
Paenibacillus selenii	CCTCC AB 2014003, KCTC 33420, W126	yes	no
Paenibacillus selenitireducens	CCTCC AB2013097, ES3-24, KCTC 33157	yes	yes
Paenibacillus senegalensis	CSUR P157, DSM 25958, JC66	yes	yes
Paenibacillus senegalimassiliensis	CCUG 69869, CSUR P2144, SIT18	yes	yes
Paenibacillus septentrionalis	KCTC 13039, PCU 280, TISTR 1830, X13-1	yes	no
Paenibacillus sepulcri	CCM 7311, LMG 19508	yes	no
Paenibacillus shenyangensis	A9, CGMCC 2040, JCM 19307	yes	no
Paenibacillus shirakamiensis	CIP 110571, DSM 26806, KCTC 33126, NBRC 109471, P-1	yes	no
Paenibacillus shunpengii	ACCC 19965, KCTC 33849, YYJ7-1	yes	no
Paenibacillus siamensis	KCTC 13038, PCU 279, S5-3, TISTR 1831	yes	no
Paenibacillus silagei	DSM 101953, JCM 30974, LOOC204, MAFF516319	yes	no
Paenibacillus silvae	CGMCC 1.12770, DB13031, DSM 28013	yes	no
Paenibacillus sinopodophylli	CCTCC AB 2016047, KCTC 33807, TEGR-3	yes	no
Paenibacillus solanacearum	KACC 18654, NBRC 111896, T16R-228	yes	no
Paenibacillus solani	CCTCC AB 2015207, DSM 100999, FJAT-22460	yes	yes
Paenibacillus soli	DCY03, KCTC 13010, LMG 23604	yes	no
Paenibacillus sonchi	CCBAU 83901, LMG 24727, X19-5	yes	yes
Paenibacillus sophorae	CGMCC 1.10238, DSM 23020, S27	yes	yes
Paenibacillus sputi	DSM 22699, KCTC 13252, KIT 00200-70066-1	yes	no
Paenibacillus stellifer	CCUG 45566, DSM 14472, IS 1	yes	yes
Paenibacillus susongensis	CCTCC AB 2014058, JCM 19951, LMG 28236, M327	yes	no
Paenibacillus swuensis	DY6, JCM 18491, KCTC 33026	yes	yes
Paenibacillus taichungensis	BCRC 17757, DSM 19942, V10537	yes	no
Paenibacillus taihuensis	CGMCC 1.10966, NBRC 108766, THMBG22	yes	no
Paenibacillus taiwanensis	BCRC 17411, DSM 18679, G-soil-2-3, G-soil2-3, IAM 15414, JCM 23198, LMG 23799	yes	yes
Paenibacillus taohuashanense	CGMCC 1.12175, DSM 25809, gs65	yes	no
Paenibacillus tarimensis	CCTCC AB 206108, DSM 19409, SA-7-6	yes	no
Paenibacillus telluris	CGMCC 1.10695, KCTC 13946, PS38	yes	no
Paenibacillus terrae	AM141, JCM 11466, KCCM 41557	yes	no
Paenibacillus terreus	CCTCC AB 2015273, D33, DSM 100035, KACC 18491	yes	no
Paenibacillus terrigena	A35, CCTCC AB206026, DSM 21567, IAM 15291, JCM 21741	yes	yes
Paenibacillus tezpurensis	AS-S24-II, MTCC 8959	yes	no
Paenibacillus thailandensis	KCTC 13043, PCU 275, S3-4A, TISTR 1827	yes	no
Paenibacillus thermoaerophilus	DSM 26310, JCM 18657, TC22-2b	yes	no
Paenibacillus thermophilus	CCTCC AB 2011115, DSM 24746, JCM 17693, WP-1	yes	no
Paenibacillus thiaminolyticus	AHU 1393, CCUG 28880, CIP 104430, DSM 7262, HSCC 148, IFO 15656, JCM 8360, LMG 17412, NBRC 15656, NCTC 12999, NRRL B-4156	yes	yes
Paenibacillus tianmuensis	B27, CGMCC 1.8946, DSM 22342	yes	yes
Paenibacillus tibetensis	ACCC 19728, DSM 29321, SSB001	yes	no
Paenibacillus timonensis	2301032, CCUG 48216, CIP 108005, DSM 16943	yes	no
Paenibacillus translucens	CJ11, JCM 32080, KACC 19304	yes	no
Paenibacillus tritici	CECT 9125, LMG 29502, RTAE36	yes	no
Paenibacillus triticisoli	BJ-18, CGMCC 1.12045, DSM 25425	yes	no
Paenibacillus tuaregi	CSUR P2472, DSM 102801, Marseille-P2472	yes	yes
Paenibacillus tundrae	A10b, DSM 21291, NRRL B-51094	yes	no
Paenibacillus turicensis	DSM 14349, MOL722, NCCB 100011	yes	no
Paenibacillus tylopili	DSM 18927, LMG 23975, MK2	yes	no
Paenibacillus typhae	CGMCC 1.11012, DSM 25190, xj7	yes	yes
Paenibacillus tyrfis	DSM 100708, MCCC 1K01247, MSt1	yes	yes
Paenibacillus uliginis	DSM 21861, LMG 24790, N3/975	yes	yes
Paenibacillus urinalis	5402403, CCUG 53521, CIP 109357	yes	no
Paenibacillus validus	ATCC 29948, ATCC 29948 [[Paenibacillus gordonae]], ATCC 43897, CCUG 28520, CFBP 4263, CIP 103120, DSM 3037, DSM 3037 [[Paenibacillus gordonae]], DSM 5395, DSM 5395 [[Paenibacillus gordonae]], IFO 15382, JCM 9077, LMG 11161, NBRC 15382, NRRL B-14484, NRRL NRS 1000, NRRL NRS 1000 [[Paenibacillus gordonae]], NRRL NRS-1000, NRRL NRS-1000 [[Paenibacillus gordonae]], Q1, Q1 [[Paenibacillus gordonae]]	yes	no
Paenibacillus vini	ACCC 06420, JCM 19842, LAM0504	yes	no
Paenibacillus vulneris	CCUG 53270, JCM 18268	yes	no
Paenibacillus wenxiniae	373, CGMCC 1.15007, DSM 100576	yes	no
Paenibacillus wooponensis	JCM 16350, KCTC 13280, WPCB018	yes	no
Paenibacillus woosongensis	DSM 16971, KCTC 3953, YB-45	yes	no
Paenibacillus wulumuqiensis	CPCC 100602, JCM 30284, Y24	yes	yes
Paenibacillus wynnii	CIP 108306, LMG 22176	yes	no
Paenibacillus xanthanilyticus	AS7, IBRC M 10987, LMG 29451	yes	no
Paenibacillus xanthinilyticus	11N27, KACC 17935, NBRC 109108	yes	no
Paenibacillus xinjiangensis	B538, DSM 16970, KCTC 3952	yes	no
